,Date,Doses_Given,Doses_Received,Long_Term_Care_Doses,Long_Term_Care_Given,All_Doses_Received,All_Doses_Given,New_Doses_Today,Pct_Doses_Total
41,2/8/21,379624,561150,49400,19937,610550,399561,2442,65.40%
42,2/9/21,392212,601875,49400,20904,651275,413116,13555,63.40%
43,2/10/21,404695,602075,49400,21178,651475,425873,12757,65.40%
44,2/11/21,420570,621075,49400,21564,670475,442134,16261,65.90%
45,2/12/21,430228,657200,61000,21980,718200,452208,10074,63.00%
46,2/13/21,445040,658000,61000,22197,719000,467237,15029,65.00%
47,2/14/21,451914,658000,61000,22689,719000,474603,7366,66.00%
48,2/15/21,455089,658000,61000,22959,719000,478048,3445,66.50%
49,2/16/21,458431,658000,61000,23080,719000,481511,3463,67.00%
50,2/17/21,462141,676525,61000,27498,737525,489639,8128,66.40%
51,2/18/21,466216,691525,61000,27560,752525,493776,4137,65.60%
52,2/19/21,469440,691525,61000,28718,752525,498158,4382,66.20%
53,2/20/21,476828,691525,61000,28777,752525,505605,7447,67.20%
54,2/21/21,483224,691525,61000,31959,752525,515183,9578,68.50%
55,2/22/21,487212,691525,61000,32028,752525,519240,4057,69.00%
56,2/23/21,500914,794230,61000,33565,855230,534479,15239,62.50%
57,2/24/21,517445,816730,70360,35559,887090,553004,18525,62.30%
58,2/25/21,540038,835590,70360,38481,905950,578519,25515,63.90%
59,2/26/21,560854,870590,79460,41805,950050,602659,24140,63.40%
60,2/27/21,586071,902020,87560,42951,989580,629022,26363,63.60%
61,2/28/21,585785,902020,87560,41948,989580,627733,-1289,63.40%
62,3/1/21,593908,902020,87560,42692,989580,636600,8867,64.30%
63,3/2/21,609055,975910,91070,43647,1066980,652702,16102,61.20%
64,3/3/21,622719,977710,91070,46060,1068780,668779,16077,62.60%
65,3/4/21,636290,999240,119170,50907,1118410,687197,18418,61.40%
66,3/5/21,653245,1064920,135550,53454,1200470,706699,19502,58.90%
67,3/6/21,671389,1088150,135550,55258,1223700,726647,19948,59.40%
68,3/7/21,677424,1088150,135550,56557,1223700,733981,7334,60.00%
69,3/8/21,684280,1088150,135550,57924,1223700,742204,8223,60.70%
70,3/9/21,697452,1158630,135550,59599,1294180,757051,14847,58.50%
71,3/10/21,709581,1162330,135550,62295,1297880,771876,14825,59.50%
72,3/11/21,724976,1209300,152150,64818,1361450,789794,17918,58.00%
73,3/12/21,743791,1217310,165020,72606,1382330,816397,26603,59.10%
74,3/13/21,759646,1244220,165020,76826,1409240,836472,20075,59.40%
75,3/14/21,765768,1244220,165020,79015,1409240,844783,8311,59.90%
76,3/15/21,768923,1244220,165020,80060,1409240,848983,4200,60.20%
77,3/16/21,781348,1325200,174380,82532,1499580,863880,14897,57.60%
78,3/17/21,795387,1329170,174380,84963,1503550,880350,16470,58.60%
79,3/18/21,815030,1360780,194080,87951,1554860,902981,22631,58.10%
80,3/19/21,831035,1398920,209690,93491,1608610,924526,21545,57.50%
81,3/20/21,850488,1458550,209690,97509,1668240,947997,23471,56.80%
82,3/21/21,857179,1458550,209690,98897,1668240,956076,8079,57.30%
83,3/22/21,859907,1458550,209690,99884,1668240,959791,3715,57.50%
84,3/23/21,874294,1527220,229580,104490,1756800,978784,18993,55.70%
85,3/24/21,893325,1529320,230580,108094,1759900,1001419,22635,56.90%
86,3/25/21,918490,1567660,246480,111887,1814140,1030377,28958,56.80%
87,3/26/21,939908,1599810,268430,116479,1868240,1056387,26010,56.50%
88,3/27/21,961713,1654450,268430,120494,1922880,1082207,25820,56.30%
89,3/28/21,967914,1654450,268430,122948,1922880,1090862,8655,56.70%
90,3/29/21,971620,1654450,268430,124514,1922880,1096134,5272,57.00%
91,3/30/21,990108,1736160,268430,128167,2004590,1118275,22141,55.80%
92,3/31/21,1010188,1755140,280130,132704,2035270,1142892,24617,56.20%
93,4/1/21,1037549,1422550,310610,138048,1733160,1175597,32705,67.80%
94,4/2/21,1061409,1432150,324650,143579,1756800,1204988,29391,68.60%
95,4/3/21,1086242,1493760,325350,148089,1819110,1234331,29343,67.90%
96,4/4/21,1091816,1493760,325350,151026,1819110,1242842,8511,68.30%
97,4/5/21,1099355,1498430,325450,152246,1823880,1251601,8759,68.60%
98,4/6/21,1120004,1542210,339690,156671,1881900,1276675,25074,67.80%
99,4/7/21,1143188,1585010,340590,160845,1925600,1304033,27358,67.70%
100,4/8/21,1163264,1585810,350290,166129,1936100,1329393,25360,68.70%
101,4/9/21,1189295,1652590,368810,173076,2021400,1362371,32978,67.40%
102,4/10/21,1211785,1658990,377010,178131,2036000,1389916,27545,68.30%
103,4/11/21,1216254,1659790,379010,182300,2038800,1398554,8638,68.60%
104,4/12/21,1219654,1659790,379010,184222,2038800,1403876,5322,68.90%
105,4/13/21,1238723,1659790,379010,188373,2038800,1427096,23220,70.00%
106,4/14/21,1260160,1730740,406730,192662,2137470,1452822,25726,68.00%
107,4/15/21,1281423,1730840,410730,197029,2141570,1478452,25630,69.00%
108,4/16/21,1299673,1730840,424800,201845,2155640,1501518,23066,69.70%
109,4/17/21,1320705,1796680,447200,205653,2243880,1526358,24840,68.00%
110,4/18/21,1324442,1808480,453650,207833,2262130,1532275,5917,67.70%
111,4/19/21,1328980,1808480,453650,209782,2262130,1538762,6487,68.00%
112,4/20/21,1345536,1829780,461840,212809,2291620,1558345,19583,68.00%
113,4/21/21,1362754,1881500,471480,216297,2352980,1579051,20706,67.10%
114,4/22/21,1380125,1912440,474380,219574,2386820,1599699,20648,67.00%
115,4/23/21,1394337,1953520,482950,223819,2436470,1618156,18457,66.40%
116,4/24/21,1406663,1964820,503190,227815,2468010,1634478,16322,66.20%
117,4/25/21,1413744,1964820,503190,229905,2468010,1643649,9171,66.60%
118,4/26/21,1415378,1964820,503190,231373,2468010,1646751,3102,66.70%
119,4/27/21,1427501,1984570,510210,234420,2494780,1661921,15170,66.60%
120,4/28/21,1442320,1984770,521610,237825,2506380,1680145,18224,67.00%
121,4/29/21,1453607,1984770,523010,241312,2507780,1694919,14774,67.60%
122,4/30/21,1466118,1984770,530820,244867,2515590,1710985,16066,68.00%
123,5/1/21,1463233,1963820,538600,248069,2523370,1730521,19536,68.60%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
