date,detail,sub_detail,en_espanol,cases,new.cases,deaths,new.deaths,total state population,pct state population,"Cases per 10,000","Deaths per 10,000"
9/1/2020,Facility Type,Nursing Home,Asilo de ancianos,3268,27,279,4,,,,
9/1/2020,Gender,Female,Mujeres,29564,166,NA,NA,,,,
9/1/2020,Gender,Gender Unknown,Género desconocidos,198,-16,NA,NA,,,,
9/1/2020,Gender,Male,Hombres,31735,123,NA,NA,,,,
9/1/2020,Race or Ethnicity,African American,Afroamericano,13741,159,197,6,473795,15.70%,290.0199453,4.157916398
9/1/2020,Race or Ethnicity,Asian,Asiático,818,1,11,0,51303,1.70%,159.4448668,2.144124125
9/1/2020,Race or Ethnicity,Hispanic,Hispano,13348,87,65,5,232371,7.70%,574.4262408,2.797250948
9/1/2020,Race or Ethnicity,Multi-Racial,Multirracial,508,2,8,0,66392,2.20%,76.5152428,1.204964454
9/1/2020,Race or Ethnicity,Native American,Nativo Americano,189,3,3,0,30178,1.00%,62.6284048,0.9941016635
9/1/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2368,1,40,0,12071,0.40%,1961.726452,33.13727115
9/1/2020,Race or Ethnicity,White,Blanco,34224,374,512,9,2387083,79.10%,143.3716381,2.144877241
8/31/2020,Age,0-17,,7787,45,0,0,,,,
8/31/2020,Age,18-24,,8291,94,0,0,,,,
8/31/2020,Age,25-44,,21716,108,39,1,,,,
8/31/2020,Age,45-64,,16130,74,189,4,,,,
8/31/2020,Age,65+,,7300,47,569,8,,,,
8/31/2020,Facility Type,Broader Community,Comunidad más amplia,50867,354,485,11,,,,
8/31/2020,Facility Type,Corrections,Intalación correccional,7116,0,37,0,,,,
8/31/2020,Facility Type,Nursing Home,Asilo de ancianos,3241,14,275,2,,,,
8/31/2020,Gender,Female,Mujeres,29398,205,NA,NA,,,,
8/31/2020,Gender,Gender Unknown,Género desconocidos,214,3,NA,NA,,,,
8/31/2020,Gender,Male,Hombres,31612,160,NA,NA,,,,
8/31/2020,Race or Ethnicity,African American,Afroamericano,13582,33,191,2,473795,15.70%,286.6640636,4.031279351
8/31/2020,Race or Ethnicity,Asian,Asiático,817,3,11,0,51303,1.70%,159.2499464,2.144124125
8/31/2020,Race or Ethnicity,Hispanic,Hispano,13261,34,60,1,232371,7.70%,570.682228,2.582077798
8/31/2020,Race or Ethnicity,Multi-Racial,Multirracial,506,3,8,0,66392,2.20%,76.21400169,1.204964454
8/31/2020,Race or Ethnicity,Native American,Nativo Americano,186,0,3,0,30178,1.00%,61.63430313,0.9941016635
8/31/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2367,1,40,1,12071,0.40%,1960.89802,33.13727115
8/31/2020,Race or Ethnicity,White,Blanco,33850,190,503,8,2387083,79.10%,141.8048723,2.107174321
8/30/2020,Age,0-17,,7742,76,0,0,,,,
8/30/2020,Age,18-24,,8197,77,0,0,,,,
8/30/2020,Age,25-44,,21608,151,38,0,,,,
8/30/2020,Age,45-64,,16056,96,185,3,,,,
8/30/2020,Age,65+,,7253,78,561,9,,,,
8/30/2020,Facility Type,Broader Community,Comunidad más amplia,50513,369,474,8,,,,
8/30/2020,Facility Type,Corrections,Intalación correccional,7116,43,37,0,,,,
8/30/2020,Facility Type,Nursing Home,Asilo de ancianos,3227,66,273,4,,,,
8/30/2020,Gender,Female,Mujeres,29193,232,NA,NA,,,,
8/30/2020,Gender,Gender Unknown,Género desconocidos,211,12,NA,NA,,,,
8/30/2020,Gender,Male,Hombres,31452,234,NA,NA,,,,
8/30/2020,Race or Ethnicity,African American,Afroamericano,13549,85,189,2,473795,15.70%,285.9675598,3.989067002
8/30/2020,Race or Ethnicity,Asian,Asiático,814,2,11,1,51303,1.70%,158.6651853,2.144124125
8/30/2020,Race or Ethnicity,Hispanic,Hispano,13227,40,59,0,232371,7.70%,569.2190506,2.539043168
8/30/2020,Race or Ethnicity,Multi-Racial,Multirracial,503,4,8,0,66392,2.20%,75.76214002,1.204964454
8/30/2020,Race or Ethnicity,Native American,Nativo Americano,186,1,3,0,30178,1.00%,61.63430313,0.9941016635
8/30/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2366,1,39,0,12071,0.40%,1960.069588,32.30883937
8/30/2020,Race or Ethnicity,White,Blanco,33660,280,495,6,2387083,79.10%,141.0089218,2.073660614
8/29/2020,Age,0-17,,7666,78,0,0,,,,
8/29/2020,Age,18-24,,8120,150,0,0,,,,
8/29/2020,Age,25-44,,21457,284,38,1,,,,
8/29/2020,Age,45-64,,15960,196,182,4,,,,
8/29/2020,Age,65+,,7175,87,552,11,,,,
8/29/2020,Facility Type,Broader Community,Comunidad más amplia,50144,620,466,9,,,,
8/29/2020,Facility Type,Corrections,Intalación correccional,7073,108,37,0,,,,
8/29/2020,Facility Type,Nursing Home,Asilo de ancianos,3161,68,269,7,,,,
8/29/2020,Gender,Female,Mujeres,28961,324,NA,NA,,,,
8/29/2020,Gender,Gender Unknown,Género desconocidos,199,36,NA,NA,,,,
8/29/2020,Gender,Male,Hombres,31218,435,NA,NA,,,,
8/29/2020,Race or Ethnicity,African American,Afroamericano,13464,133,187,5,473795,15.70%,284.173535,3.946854652
8/29/2020,Race or Ethnicity,Asian,Asiático,812,8,10,0,51303,1.70%,158.2753445,1.94920375
8/29/2020,Race or Ethnicity,Hispanic,Hispano,13187,117,59,1,232371,7.70%,567.4976654,2.539043168
8/29/2020,Race or Ethnicity,Multi-Racial,Multirracial,499,5,8,0,66392,2.20%,75.15965779,1.204964454
8/29/2020,Race or Ethnicity,Native American,Nativo Americano,185,2,3,0,30178,1.00%,61.30293591,0.9941016635
8/29/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2365,9,39,0,12071,0.40%,1959.241156,32.30883937
8/29/2020,Race or Ethnicity,White,Blanco,33380,493,489,14,2387083,79.10%,139.835942,2.048525334
8/28/2020,Age,0-17,,7588,108,0,0,,,,
8/28/2020,Age,18-24,,7970,107,0,0,,,,
8/28/2020,Age,25-44,,21173,264,37,2,,,,
8/28/2020,Age,45-64,,15764,242,178,5,,,,
8/28/2020,Age,65+,,7088,117,541,10,,,,
8/28/2020,Facility Type,Broader Community,Comunidad más amplia,49524,627,457,13,,,,
8/28/2020,Facility Type,Corrections,Intalación correccional,6965,181,37,0,,,,
8/28/2020,Facility Type,Nursing Home,Asilo de ancianos,3093,29,262,4,,,,
8/28/2020,Gender,Female,Mujeres,28637,372,NA,NA,,,,
8/28/2020,Gender,Gender Unknown,Género desconocidos,163,8,NA,NA,,,,
8/28/2020,Gender,Male,Hombres,30783,458,NA,NA,,,,
8/28/2020,Race or Ethnicity,African American,Afroamericano,13331,123,182,2,473795,15.70%,281.3664137,3.841323779
8/28/2020,Race or Ethnicity,Asian,Asiático,804,7,10,0,51303,1.70%,156.7159815,1.94920375
8/28/2020,Race or Ethnicity,Hispanic,Hispano,13070,103,58,0,232371,7.70%,562.4626137,2.496008538
8/28/2020,Race or Ethnicity,Multi-Racial,Multirracial,494,2,8,0,66392,2.20%,74.40655501,1.204964454
8/28/2020,Race or Ethnicity,Native American,Nativo Americano,183,1,3,0,30178,1.00%,60.64020147,0.9941016635
8/28/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2356,5,39,0,12071,0.40%,1951.78527,32.30883937
8/28/2020,Race or Ethnicity,White,Blanco,32887,415,475,14,2387083,79.10%,137.7706598,1.989876347
8/27/2020,Age,0-17,,7480,107,0,0,,,,
8/27/2020,Age,18-24,,7863,102,0,0,,,,
8/27/2020,Age,25-44,,20909,211,35,0,,,,
8/27/2020,Age,45-64,,15522,179,173,0,,,,
8/27/2020,Age,65+,,6971,123,531,7,,,,
8/27/2020,Facility Type,Broader Community,Comunidad más amplia,48897,605,444,6,,,,
8/27/2020,Facility Type,Corrections,Intalación correccional,6784,71,37,0,,,,
8/27/2020,Facility Type,Nursing Home,Asilo de ancianos,3064,46,258,1,,,,
8/27/2020,Gender,Female,Mujeres,28265,357,NA,NA,,,,
8/27/2020,Gender,Gender Unknown,Género desconocidos,155,12,NA,NA,,,,
8/27/2020,Gender,Male,Hombres,30325,353,NA,NA,,,,
8/27/2020,Race or Ethnicity,African American,Afroamericano,13208,121,180,2,473795,15.70%,278.7703543,3.79911143
8/27/2020,Race or Ethnicity,Asian,Asiático,797,6,10,0,51303,1.70%,155.3515389,1.94920375
8/27/2020,Race or Ethnicity,Hispanic,Hispano,12967,102,58,0,232371,7.70%,558.0300468,2.496008538
8/27/2020,Race or Ethnicity,Multi-Racial,Multirracial,492,4,8,0,66392,2.20%,74.10531389,1.204964454
8/27/2020,Race or Ethnicity,Native American,Nativo Americano,182,3,3,0,30178,1.00%,60.30883425,0.9941016635
8/27/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2351,2,39,0,12071,0.40%,1947.643112,32.30883937
8/27/2020,Race or Ethnicity,White,Blanco,32472,425,461,5,2387083,79.10%,136.0321363,1.93122736
8/26/2020,Age,0-17,,7373,61,0,0,,,,
8/26/2020,Age,18-24,,7761,82,0,0,,,,
8/26/2020,Age,25-44,,20698,217,35,0,,,,
8/26/2020,Age,45-64,,15343,170,173,3,,,,
8/26/2020,Age,65+,,6848,119,524,18,,,,
8/26/2020,Facility Type,Broader Community,Comunidad más amplia,48292,478,438,14,,,,
8/26/2020,Facility Type,Corrections,Intalación correccional,6713,76,37,1,,,,
8/26/2020,Facility Type,Nursing Home,Asilo de ancianos,3018,95,257,6,,,,
8/26/2020,Gender,Female,Mujeres,27908,324,NA,NA,,,,
8/26/2020,Gender,Gender Unknown,Género desconocidos,143,2,NA,NA,,,,
8/26/2020,Gender,Male,Hombres,29972,324,NA,NA,,,,
8/26/2020,Race or Ethnicity,African American,Afroamericano,13087,154,178,1,473795,15.70%,276.2165071,3.756899081
8/26/2020,Race or Ethnicity,Asian,Asiático,791,2,10,0,51303,1.70%,154.1820166,1.94920375
8/26/2020,Race or Ethnicity,Hispanic,Hispano,12865,75,58,0,232371,7.70%,553.6405145,2.496008538
8/26/2020,Race or Ethnicity,Multi-Racial,Multirracial,488,8,8,1,66392,2.20%,73.50283167,1.204964454
8/26/2020,Race or Ethnicity,Native American,Nativo Americano,179,3,3,0,30178,1.00%,59.31473259,0.9941016635
8/26/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2349,2,39,0,12071,0.40%,1945.986248,32.30883937
8/26/2020,Race or Ethnicity,White,Blanco,32047,347,456,17,2387083,79.10%,134.2517206,1.910281293
8/25/2020,Age,0-17,,7312,13,0,0,,,,
8/25/2020,Age,18-24,,7679,61,0,0,,,,
8/25/2020,Age,25-44,,20481,185,35,0,,,,
8/25/2020,Age,45-64,,15173,131,170,4,,,,
8/25/2020,Age,65+,,6729,90,506,11,,,,
8/25/2020,Facility Type,Broader Community,Comunidad más amplia,47814,416,424,8,,,,
8/25/2020,Facility Type,Corrections,Intalación correccional,6637,16,36,0,,,,
8/25/2020,Facility Type,Nursing Home,Asilo de ancianos,2923,48,251,7,,,,
8/25/2020,Gender,Female,Mujeres,27584,251,NA,NA,,,,
8/25/2020,Gender,Gender Unknown,Género desconocidos,141,1,NA,NA,,,,
8/25/2020,Gender,Male,Hombres,29648,228,NA,NA,,,,
8/25/2020,Race or Ethnicity,African American,Afroamericano,12933,123,177,1,473795,15.70%,272.9661562,3.735792906
8/25/2020,Race or Ethnicity,Asian,Asiático,789,6,10,1,51303,1.70%,153.7921759,1.94920375
8/25/2020,Race or Ethnicity,Hispanic,Hispano,12790,82,58,1,232371,7.70%,550.4129173,2.496008538
8/25/2020,Race or Ethnicity,Multi-Racial,Multirracial,480,4,7,0,66392,2.20%,72.29786721,1.054343897
8/25/2020,Race or Ethnicity,Native American,Nativo Americano,176,2,3,0,30178,1.00%,58.32063092,0.9941016635
8/25/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2347,3,39,1,12071,0.40%,1944.329384,32.30883937
8/25/2020,Race or Ethnicity,White,Blanco,31700,405,439,11,2387083,79.10%,132.7980636,1.839064666
8/24/2020,Age,0-17,,7299,38,0,0,,,,
8/24/2020,Age,18-24,,7618,51,0,0,,,,
8/24/2020,Age,25-44,,20296,80,35,0,,,,
8/24/2020,Age,45-64,,15042,66,166,1,,,,
8/24/2020,Age,65+,,6639,85,495,8,,,,
8/24/2020,Facility Type,Broader Community,Comunidad más amplia,47398,299,416,6,,,,
8/24/2020,Facility Type,Corrections,Intalación correccional,6621,13,36,0,,,,
8/24/2020,Facility Type,Nursing Home,Asilo de ancianos,2875,8,244,3,,,,
8/24/2020,Gender,Female,Mujeres,27333,183,NA,NA,,,,
8/24/2020,Gender,Gender Unknown,Género desconocidos,141,20,NA,NA,,,,
8/24/2020,Gender,Male,Hombres,29420,117,NA,NA,,,,
8/24/2020,Race or Ethnicity,African American,Afroamericano,12810,89,176,5,473795,15.70%,270.3700968,3.714686732
8/24/2020,Race or Ethnicity,Asian,Asiático,783,2,9,0,51303,1.70%,152.6226536,1.754283375
