"","Date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct","Full_Pct"
"23",2021-08-27,"Miller",9542,5750,3776,3,1637,4113,5276,8.6,2192,10.1,16,68,1.9,9,1408,573,449,5,17.4,36531,15.7,10.3,3,4.5,1.9,3,14.2,11.3%
"24",2021-08-27,"Lafayette",3677,2140,1537,0,508,1632,1946,23.6,1527,32.5,8,25,11.8,2,145,24,47,2,16.2,5854,36.6,26.3,6.7,9.6,0,9,34.3,27.9%
"25",2021-08-27,"Columbia",16679,9792,6862,3,2527,7265,8999,31.5,5457,33.5,21,165,8.8,2,1463,572,537,17,46.6,20211,48.4,34,9.3,10.5,0.8,13,37.8,35.9%
"26",2021-08-27,"Union",23347,13622,9677,0,3092,10530,13328,28.4,6752,28.8,45,173,10.6,26,1487,1536,1029,10,40.2,32555,41.8,29.7,6.7,8.5,3.7,14,32.8,32.3%
"27",2021-08-27,"Ashley",15580,8833,6711,2,1771,7062,10220,37.4,4008,44,10,32,5.1,15,568,727,1083,17,55.7,16780,52.6,40,8.5,10.9,0,5,35.5,42.1%
"28",2021-08-27,"Chicot",8118,4686,3345,12,953,3733,3196,37,3921,39.7,6,42,2,1,579,373,502,20,47.6,8680,54,38.5,9,9.2,8.2,3,29,43.0%
"29",2021-08-27,"Benton",232939,132670,99228,23,25114,107556,175341,38.6,3524,32.1,1330,11627,12.5,867,13272,26978,38719,13,48.8,231247,57.4,42.9,8.4,7.5,4.3,11,50.7,46.5%
"30",2021-08-27,"Carroll",19168,11388,7715,1,2491,8897,14855,29.8,59,9.9,51,213,8.6,126,2255,1609,1899,9,28.5,24422,46.6,31.6,7.1,5.2,0,15,22.2,36.4%
"31",2021-08-27,"Madison",11179,6525,4628,1,1457,5068,9510,32.2,35,11.1,64,84,9,67,840,579,780,15,45.7,14093,46.3,32.8,8.4,2,6.4,25,34.1,36.0%
"32",2021-08-27,"Sebastian",91860,53088,38581,8,10631,42457,67015,34.4,4568,26.3,561,4394,8.1,89,7540,7693,8810,11,27.4,107538,49.4,35.9,7.4,7.8,3.5,8,36.5,39.5%
"33",2021-08-27,"Polk",10754,6476,4263,0,1544,4932,9303,26.1,43,13.9,63,82,6.6,5,716,542,659,8,30.4,17073,37.9,25,7.6,8.2,3.8,4,24.3,28.9%
"34",2021-08-27,"Sevier",10692,6156,4532,0,1177,4979,6690,25.2,426,33.6,64,49,5.9,54,1611,1798,2606,8,27.3,13767,44.7,32.9,5.4,6.5,1.4,8,22.9,36.2%
"35",2021-08-27,"Garland",79926,44967,34449,8,9676,35291,66223,38.3,4622,26.9,199,724,11,72,3326,4760,3599,17,33.5,86444,52,39.9,9.5,8.2,2.9,10,39.8,40.8%
"36",2021-08-27,"Saline",96691,54077,42286,24,9378,44699,75526,37.7,8392,45.7,194,1241,12.8,110,6443,4785,3995,13,38.9,104254,51.9,40.6,7,10.1,1.9,7,39.6,42.9%
"37",2021-08-27,"Franklin",14232,8063,6098,0,1401,6662,12777,41.2,73,15.8,44,155,8.9,4,929,250,259,6,26.4,15200,53,40.1,8.2,6.1,0.8,5,36.9,43.8%
"38",2021-08-27,"Scott",6797,4159,2633,0,966,3193,5723,33.4,33,17.2,30,134,7.1,4,608,265,312,15,20.1,8746,47.6,30.1,8.4,4.3,2.8,9,24.7,36.5%
"39",2021-08-27,"Logan",15988,9056,6906,1,1625,7431,14040,37.5,195,26.5,62,234,12.2,6,1133,318,428,8,39.2,18547,48.8,37.2,7.3,5.6,4.1,4,25.5,40.1%
"40",2021-08-27,"Yell",15554,9219,6311,1,1869,7350,12325,34.1,221,23.6,58,171,13.7,4,1338,1437,2230,10,32.5,18012,51.2,35,7.1,7.9,2.4,15,26.5,40.8%
"41",2021-08-27,"Montgomery",4981,2993,1978,1,408,2585,4331,29.7,12,6.5,7,28,2.5,0,416,187,84,2,12.1,7929,37.7,24.9,4,1.1,2.5,7,10,32.6%
"42",2021-08-27,"Pike",6208,3627,2572,3,919,2708,5159,26.3,186,23,11,28,3.3,4,511,309,355,14,27.1,9246,39.2,27.8,7.8,7.8,4.1,7,18.4,29.3%
"43",2021-08-27,"Hempstead",10941,6727,4183,8,2009,4718,5775,20.8,3070,23.9,50,69,20,8,1066,903,1095,13,22.5,17816,37.8,23.5,7.7,10.7,3.8,6,27.4,26.5%
"44",2021-08-27,"Drew",14897,8492,6345,2,1759,6733,9490,39.2,3873,40.3,31,100,18.2,19,729,655,490,16,41.2,15607,54.4,40.7,9.2,10.3,3.9,6,50.4,43.1%
"45",2021-08-27,"Bradley",9618,5796,3792,5,1115,4681,5828,44.2,2517,49,26,43,8.8,8,355,841,959,14,35.3,9068,63.9,41.8,9.1,12.3,0.7,22,35.2,51.6%
"46",2021-08-27,"Calhoun",3088,1712,1364,0,301,1411,2104,27.7,595,27.6,0,6,0,0,332,51,28,2,7.3,4546,37.7,30,5.1,5.2,0,0,23.1,31.0%
"47",2021-08-27,"Ouachita",20375,11527,8809,1,2176,9351,10712,42.8,7807,43.9,22,97,11.8,16,1284,437,318,9,33.9,20023,57.6,44,7.7,11.4,0,8,49.5,46.7%
"48",2021-08-27,"Nevada",4962,3162,1791,1,1025,2137,3031,27.6,1344,26.1,8,41,9.1,1,425,112,135,11,21.5,7050,44.9,25.4,11.7,12.5,9.1,27,45.9,30.3%
"49",2021-08-27,"Clark",18652,10326,8262,1,1745,8581,13112,42.1,4128,39.6,37,146,10.7,7,686,536,712,9,39.9,19472,53,42.4,7.6,8.7,9,0,50.6,44.1%
"50",2021-08-27,"Dallas",6815,3780,3012,1,649,3131,3586,47.7,2782,50.6,7,25,12.2,0,329,86,119,8,25.7,6069,62.3,49.6,7.8,11.9,0,17,61.1,51.6%
"51",2021-08-27,"Cleveland",7105,4017,3030,7,799,3218,5805,43.9,916,50.3,10,7,8.3,4,254,109,84,6,26.7,6927,58,43.7,9.7,15,8.3,15,20,46.5%
"52",2021-08-27,"Lincoln",7141,4195,2913,4,921,3274,5164,30.5,1528,18,5,24,3.6,3,196,221,278,8,28.1,11689,35.9,24.9,7.2,7,1.8,4,28.9,28.0%
"53",2021-08-27,"Arkansas",16100,9339,6702,15,1937,7402,11393,48.5,3053,37.7,8,104,7.5,1,952,589,513,16,58.4,14786,63.2,45.3,10.7,11.3,0,8,38.6,50.1%
"54",2021-08-27,"Grant",13583,7704,5835,6,1442,6262,12588,38.6,296,29.6,21,54,11.9,6,390,228,270,10,28.5,15720,49,37.1,8.5,7.2,1.2,7,31.4,39.8%
"55",2021-08-27,"Monroe",6158,3616,2520,1,882,2734,3496,46.5,2172,42.1,8,8,10.8,2,306,166,186,26,67.2,5758,62.8,43.8,12.8,13.5,2.7,4,7.7,47.5%
"56",2021-08-27,"Lee",4871,2862,2005,1,613,2249,1982,26.3,2324,25.9,4,19,4.3,9,445,88,90,11,23.5,7777,36.8,25.8,5.8,6.8,2.2,17,21.3,28.9%
"57",2021-08-27,"Hot Spring",24495,13627,10803,3,2430,11197,20190,36.1,2683,35.6,48,96,12.7,9,811,658,674,10,31.8,29427,46.3,36.7,7.6,7.7,0,1,31.9,38.1%
"58",2021-08-27,"St. Francis",15395,9211,6161,2,2081,7130,7191,33.1,6881,29.4,12,87,2.7,10,983,231,350,5,11.9,21496,42.8,28.7,8.6,7.8,1.6,6,29.2,33.2%
"59",2021-08-27,"Crittenden",27780,17501,10230,6,4847,12654,11183,28.6,13107,28.1,68,255,21.4,35,2446,686,619,13,28.5,39319,44.5,26,9.2,12,9,10,43.1,32.2%
"60",2021-08-27,"Cross",13609,7934,5651,2,1831,6103,9367,40.7,3052,42.1,14,119,10.9,8,895,154,205,15,33.2,13912,57,40.6,10.6,13.6,4.7,6,53.4,43.9%
"61",2021-08-27,"Woodruff",5767,3242,2508,3,632,2610,4057,46.7,1244,39,7,8,14.3,17,360,74,86,7,53.3,5426,59.7,46.2,11,8.9,0,25,80,48.1%
"62",2021-08-27,"White",58443,32386,25927,1,5657,26729,49542,36.4,2224,31,106,436,10.1,46,3078,3011,1962,10,32.1,67007,48.3,38.7,7.3,7.6,0.6,8,32,39.9%
"63",2021-08-27,"Faulkner",106121,58849,46960,5,9798,49051,82719,42.1,10781,37.5,230,1319,12.5,112,6433,4527,3133,12,34,107247,54.9,43.8,7.6,9,3.2,8,38,45.7%
"64",2021-08-27,"Conway",18373,10281,8060,1,1542,8739,14289,44.2,2149,48,53,87,17.6,9,1398,388,664,10,48.8,17726,58,45.5,7.2,8.9,1.4,0,54.9,49.3%
"65",2021-08-27,"Newton",4293,2471,1802,1,596,1875,3625,24.1,5,1.6,6,11,3.3,3,593,50,125,16,43.8,6827,36.2,26.4,6.8,4.9,0,6,19.4,27.5%
"66",2021-08-27,"Pope",48533,28276,20110,6,4828,23448,39114,37,1198,30.7,186,496,12.6,32,4224,3283,3458,10,36.7,54387,52,37,6.7,5.7,3.9,5,34.4,43.1%
"67",2021-08-27,"Johnson",18055,10905,7114,2,2555,8350,14269,32,347,28.3,53,353,7.7,32,1848,1153,2138,12,35.4,22287,48.9,31.9,8,12.5,2.9,17,36.2,37.5%
"68",2021-08-27,"Van Buren",11776,6495,5243,1,1043,5452,10798,35.4,80,32.8,28,31,8.1,3,680,156,242,5,26.6,14547,44.6,36,6.2,0,2.7,0,25,37.5%
"69",2021-08-27,"Cleburne",18468,10397,8027,3,1771,8626,15778,34.5,57,17.4,39,86,9,8,2242,258,268,8,25.3,21965,47.3,36.5,6.1,6.3,4,7,31.4,39.3%
"70",2021-08-27,"Poinsett",16696,9805,6819,6,2640,7165,14425,34.6,1083,28.1,16,54,7.8,2,826,290,364,10,27.9,19810,49.5,34.4,12,12.5,2.2,8,28.2,36.2%
"71",2021-08-27,"Craighead",81494,47613,33525,30,12098,35515,64735,37.7,7819,23.5,160,1451,12.3,58,4487,2784,3008,17,28.3,91830,51.8,36.5,11.8,9.3,6.2,19,50.2,38.7%
"72",2021-08-27,"Sharp",10703,6210,4461,0,1548,4662,9720,28.9,30,7.3,22,46,5.1,4,779,102,169,4,22,15166,40.9,29.4,9.3,2.8,2.2,10,16.8,30.7%
"73",2021-08-27,"Izard",8191,4697,3465,2,1034,3663,7530,29,31,3.9,13,17,7.8,2,488,110,72,4,10.3,12084,38.9,28.7,8,2.3,0,0,15.6,30.3%
"74",2021-08-27,"Fulton",5970,3463,2494,1,747,2716,5221,22.7,24,8,6,7,4.5,0,669,43,58,1,15.9,10804,32.1,23.1,5.3,4.4,0,2,7,25.1%
"75",2021-08-27,"Stone",7852,4270,3567,2,557,3713,7066,31.2,28,20,20,11,8.9,2,600,125,91,8,21.1,10998,38.8,32.4,4.3,0,0,0,12.5,33.8%
"76",2021-08-27,"Boone",23872,13558,10159,5,3067,10491,21027,29.8,71,16.5,33,141,4.8,7,2071,522,1321,20,76,31850,42.6,31.9,8.3,4.6,1,9,26.4,32.9%
"77",2021-08-27,"Out of State",50919,32916,17883,20,11904,21012,29780,0,4492,0,558,1534,0,163,10872,3520,3672,0,0,0,0,0,0,0,0,0,0,Inf
