"","type","name","active_cases","cumulative_faculty_staff_cases","cumulative_student_cases","cumulative_total","date","district","district_lea","district_description","x2_or_more_races_total","asian_total","black_total","hispanic_total","native_american_native_alaskan_total","native_hawaiian_pacific_islander_total","white_total","student_total","Pct_Hispanic","Pct_White","Pct_Black","Student_Covid_Per1000","Active_Covid_Per1000"
"11","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",23,29,255,315,2021-12-07,"west_memphis_school_dist",1803000,"WEST MEMPHIS SCHOOL DISTRICT",63,13,3843,91,1,0,1049,5060,0.02,0.21,0.76,50.4,4.55
"12","PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",22,14,92,116,2021-12-07,"harrison_school_dist",503000,"HARRISON SCHOOL DISTRICT",73,14,11,114,10,2,2482,2706,0.04,0.92,0,34,8.13
"13","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",20,45,271,375,2021-12-07,"benton_school_dist",6302000,"BENTON SCHOOL DISTRICT",225,51,497,512,14,8,4115,5422,0.09,0.76,0.09,49.98,3.69
"14","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",19,34,158,218,2021-12-07,"nettleton_school_dist",1611000,"NETTLETON SCHOOL DISTRICT",169,47,1697,338,7,5,1148,3411,0.1,0.34,0.5,46.32,5.57
"15","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",18,51,210,270,2021-12-07,"batesville_school_dist",3201000,"BATESVILLE SCHOOL DISTRICT",67,42,182,784,10,7,1967,3059,0.26,0.64,0.06,68.65,5.88
"16","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",17,37,263,335,2021-12-07,"greene_county_tech_school_dist",2807000,"GREENE COUNTY TECH SCHOOL DISTRICT",13,22,83,114,9,24,3260,3525,0.03,0.92,0.02,74.61,4.82
"17","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",17,31,130,177,2021-12-07,"huntsville_school_dist",4401000,"HUNTSVILLE SCHOOL DISTRICT",62,14,6,232,15,83,1770,2182,0.11,0.81,0,59.58,7.79
"18","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",17,45,337,411,2021-12-07,"jonesboro_school_dist",1608000,"JONESBORO SCHOOL DISTRICT",308,38,2960,903,9,0,2123,6341,0.14,0.33,0.47,53.15,2.68
"19","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",17,46,245,334,2021-12-07,"russellville_school_dist",5805000,"RUSSELLVILLE SCHOOL DISTRICT",258,77,335,1333,11,8,3190,5212,0.26,0.61,0.06,47.01,3.26
"20","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",17,50,234,324,2021-12-07,"siloam_springs_school_dist",406000,"SILOAM SPRINGS SCHOOL DISTRICT",221,131,48,1343,228,15,2188,4174,0.32,0.52,0.01,56.06,4.07
"21","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",16,17,159,193,2021-12-07,"beebe_school_dist",7302000,"BEEBE SCHOOL DISTRICT",121,10,126,169,13,1,2740,3180,0.05,0.86,0.04,50,5.03
"22","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",16,43,365,484,2021-12-07,"bryant_school_dist",6303000,"BRYANT SCHOOL DISTRICT",208,179,1677,1417,12,7,5714,9214,0.15,0.62,0.18,39.61,1.74
"23","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",16,51,371,479,2021-12-07,"pulaski_county_special_school_dist",6003000,"PULASKI COUNTY SPECIAL SCHOOL DISTRICT",433,290,5075,1098,48,5,4475,11424,0.1,0.39,0.44,32.48,1.4
"24","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",15,37,204,257,2021-12-07,"greenbrier_school_dist",2303000,"GREENBRIER SCHOOL DISTRICT",72,17,67,131,14,3,3264,3568,0.04,0.91,0.02,57.17,4.2
"25","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",14,23,157,201,2021-12-07,"clarksville_school_dist",3601000,"CLARKSVILLE SCHOOL DISTRICT",100,202,27,875,6,14,1212,2436,0.36,0.5,0.01,64.45,5.75
"26","PUBLIC SCHOOL DISTRICT","FLIPPIN SCHOOL DIST",14,14,58,76,2021-12-07,"flippin_school_dist",4501000,"FLIPPIN SCHOOL DISTRICT",21,3,1,22,2,1,795,845,0.03,0.94,0,68.64,16.57
"27","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",14,35,190,250,2021-12-07,"north_little_rock_school_dist",6002000,"NORTH LITTLE ROCK SCHOOL DISTRICT",173,81,4524,767,53,4,2008,7610,0.1,0.26,0.59,24.97,1.84
"28","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",14,27,279,373,2021-12-07,"paragould_school_dist",2808000,"PARAGOULD SCHOOL DISTRICT",108,15,235,200,8,68,2437,3071,0.07,0.79,0.08,90.85,4.56
"29","PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",14,29,197,265,2021-12-07,"sheridan_school_dist",2705000,"SHERIDAN SCHOOL DISTRICT",101,56,100,244,14,0,3588,4103,0.06,0.87,0.02,48.01,3.41
"30","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",14,15,140,169,2021-12-07,"south_conway_county_school_dist",1507000,"SOUTH CONWAY COUNTY SCHOOL DISTRICT",157,9,380,173,8,6,1631,2364,0.07,0.69,0.16,59.22,5.92
"31","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",13,28,169,208,2021-12-07,"lake_hamilton_school_dist",2605000,"LAKE HAMILTON SCHOOL DISTRICT",271,22,158,533,19,3,3245,4251,0.13,0.76,0.04,39.76,3.06
"32","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",12,30,208,240,2021-12-07,"fayetteville_school_dist",7203000,"FAYETTEVILLE SCHOOL DISTRICT",787,299,981,1245,37,152,6650,10151,0.12,0.66,0.1,20.49,1.18
"33","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",12,24,149,203,2021-12-07,"highland_school_dist",6804000,"HIGHLAND SCHOOL DISTRICT",9,3,21,34,3,3,1524,1597,0.02,0.95,0.01,93.3,7.51
"34","PUBLIC SCHOOL DISTRICT","LAVACA SCHOOL DIST",11,11,56,72,2021-12-07,"lavaca_school_dist",6605000,"LAVACA SCHOOL DISTRICT",67,3,4,63,16,0,640,793,0.08,0.81,0.01,70.62,13.87
"35","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",11,52,235,318,2021-12-07,"van_buren_school_dist",1705000,"VAN BUREN SCHOOL DISTRICT",380,132,155,1021,76,8,3634,5406,0.19,0.67,0.03,43.47,2.03
"36","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",11,24,133,185,2021-12-07,"vilonia_school_dist",2307000,"VILONIA SCHOOL DISTRICT",2,6,55,135,16,4,2745,2963,0.05,0.93,0.02,44.89,3.71
"37","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",10,32,113,157,2021-12-07,"el_dorado_school_dist",7001000,"EL DORADO SCHOOL DISTRICT",143,55,1992,402,2,4,1523,4121,0.1,0.37,0.48,27.42,2.43
"38","PUBLIC SCHOOL DISTRICT","HARMONY GROVE SCH DIST(SALINE)",10,13,58,75,2021-12-07,"harmony_grove_sch_dist(saline)",6304000,"HARMONY GROVE SCH DIST(SALINE)",37,5,18,54,3,1,1103,1221,0.04,0.9,0.01,47.5,8.19
"39","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",10,21,116,148,2021-12-07,"mountain_view_school_dist",6901000,"MOUNTAIN VIEW SCHOOL DISTRICT",18,5,3,43,5,1,1472,1547,0.03,0.95,0,74.98,6.46
"40","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",10,16,97,127,2021-12-07,"valley_view_school_dist",1612000,"VALLEY VIEW SCHOOL DISTRICT",71,108,105,129,6,2,2452,2873,0.04,0.85,0.04,33.76,3.48
"41","PUBLIC SCHOOL DISTRICT","BERGMAN SCHOOL DIST",9,11,57,73,2021-12-07,"bergman_school_dist",502000,"BERGMAN SCHOOL DISTRICT",0,1,9,25,13,1,1003,1052,0.02,0.95,0.01,54.18,8.56
"42","PUBLIC SCHOOL DISTRICT","STAR CITY SCHOOL DIST",9,8,37,60,2021-12-07,"star_city_school_dist",4003000,"STAR CITY SCHOOL DISTRICT",48,5,255,122,2,0,944,1376,0.09,0.69,0.19,26.89,6.54
"43","PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",9,13,69,93,2021-12-07,"white_hall_school_dist",3510000,"WHITE HALL SCHOOL DISTRICT",78,98,686,84,5,12,1943,2906,0.03,0.67,0.24,23.74,3.1
"44","PUBLIC SCHOOL DISTRICT","CORNING SCHOOL DIST",8,8,67,84,2021-12-07,"corning_school_dist",1101000,"CORNING SCHOOL DISTRICT",2,1,4,19,1,0,791,818,0.02,0.97,0,81.91,9.78
"45","PUBLIC SCHOOL DISTRICT","LISA ACADEMY",8,24,99,144,2021-12-07,"lisa_academy",6041700,"LISA ACADEMY",122,223,1374,900,18,16,689,3342,0.27,0.21,0.41,29.62,2.39
"46","PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",7,5,97,118,2021-12-07,"academics_plus_public_charter_schools",6040700,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",52,72,298,85,8,3,1127,1645,0.05,0.69,0.18,58.97,4.26
"47","PUBLIC SCHOOL DISTRICT","ATKINS SCHOOL DIST",7,10,62,82,2021-12-07,"atkins_school_dist",5801000,"ATKINS SCHOOL DISTRICT",20,0,19,25,0,1,866,931,0.03,0.93,0.02,66.6,7.52
"48","PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",7,11,159,203,2021-12-07,"brookland_school_dist",1603000,"BROOKLAND SCHOOL DISTRICT",48,14,80,124,3,0,2488,2757,0.04,0.9,0.03,57.67,2.54
"49","PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",7,17,101,129,2021-12-07,"dardanelle_school_dist",7504000,"DARDANELLE SCHOOL DISTRICT",45,14,45,694,5,0,1272,2075,0.33,0.61,0.02,48.67,3.37
"50","PUBLIC SCHOOL DISTRICT","HACKETT SCHOOL DIST",7,8,44,57,2021-12-07,"hackett_school_dist",6603000,"HACKETT SCHOOL DISTRICT",38,1,6,30,22,0,633,730,0.04,0.87,0.01,60.27,9.59
"51","PUBLIC SCHOOL DISTRICT","JASPER SCHOOL DIST",7,10,28,40,2021-12-07,"jasper_school_dist",5102000,"JASPER SCHOOL DISTRICT",6,2,2,8,3,1,724,746,0.01,0.97,0,37.53,9.38
"52","PUBLIC SCHOOL DISTRICT","BLYTHEVILLE SCHOOL DIST",6,16,61,87,2021-12-07,"blytheville_school_dist",4702000,"BLYTHEVILLE SCHOOL DISTRICT",18,8,1403,70,1,0,216,1716,0.04,0.13,0.82,35.55,3.5
"53","PUBLIC SCHOOL DISTRICT","CALICO ROCK SCHOOL DIST",6,7,34,43,2021-12-07,"calico_rock_school_dist",3301000,"CALICO ROCK SCHOOL DISTRICT",3,0,0,5,2,1,351,362,0.01,0.97,0,93.92,16.57
"54","PUBLIC SCHOOL DISTRICT","CAMDEN FAIRVIEW SCHOOL DIST",6,15,77,108,2021-12-07,"camden_fairview_school_dist",5204000,"CAMDEN FAIRVIEW SCHOOL DISTRICT",93,14,1404,61,4,1,652,2229,0.03,0.29,0.63,34.54,2.69
"55","PUBLIC SCHOOL DISTRICT","CLINTON SCHOOL DIST",6,8,47,58,2021-12-07,"clinton_school_dist",7102000,"CLINTON SCHOOL DISTRICT",15,5,5,89,2,0,1122,1238,0.07,0.91,0,37.96,4.85
"56","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",6,14,135,171,2021-12-07,"farmington_school_dist",7202000,"FARMINGTON SCHOOL DISTRICT",158,13,78,234,17,3,2069,2572,0.09,0.8,0.03,52.49,2.33
"57","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",6,23,94,128,2021-12-07,"gentry_school_dist",403000,"GENTRY SCHOOL DISTRICT",133,121,7,229,49,5,900,1444,0.16,0.62,0,65.1,4.16
"58","PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",6,21,112,148,2021-12-07,"gravette_school_dist",404000,"GRAVETTE SCHOOL DISTRICT",75,25,7,138,44,9,1562,1860,0.07,0.84,0,60.22,3.23
"59","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",6,22,126,177,2021-12-07,"jacksonville_north_pulaski_school_dist",6004000,"JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT",155,32,2004,289,18,5,1278,3781,0.08,0.34,0.53,33.32,1.59
"60","PUBLIC SCHOOL DISTRICT","SALEM SCHOOL DIST",6,9,86,100,2021-12-07,"salem_school_dist",2502000,"SALEM SCHOOL DISTRICT",26,2,3,19,3,0,797,850,0.02,0.94,0,101.18,7.06
"61","PUBLIC SCHOOL DISTRICT","SOUTH SIDE SCHOOL DIST(VANBUREN)",6,NA,NA,31,2021-12-07,"south_side_school_dist(vanburen)",7105000,"SOUTH SIDE SCHOOL DISTRICT(VANBUREN)",18,2,2,8,3,0,460,493,0.02,0.93,0,NA,12.17
"62","PUBLIC SCHOOL DISTRICT","WEST FORK SCHOOL DIST",6,11,57,74,2021-12-07,"west_fork_school_dist",7208000,"WEST FORK SCHOOL DISTRICT",44,10,5,44,17,0,787,907,0.05,0.87,0.01,62.84,6.62
"63","PUBLIC SCHOOL DISTRICT","ARKANSAS ARTS ACADEMY",5,NA,NA,64,2021-12-07,"arkansas_arts_academy",440700,"ARKANSAS ARTS ACADEMY",94,16,22,220,10,0,842,1204,0.18,0.7,0.02,NA,4.15
"64","PUBLIC SCHOOL DISTRICT","BALD KNOB SCHOOL DIST",5,NA,NA,70,2021-12-07,"bald_knob_school_dist",7301000,"BALD KNOB SCHOOL DISTRICT",55,3,16,67,5,0,1005,1151,0.06,0.87,0.01,NA,4.34
"65","PUBLIC SCHOOL DISTRICT","CONCORD SCHOOL DIST",5,8,40,54,2021-12-07,"concord_school_dist",1201000,"CONCORD SCHOOL DISTRICT",1,1,1,8,2,1,395,409,0.02,0.97,0,97.8,12.22
"66","PUBLIC SCHOOL DISTRICT","CROSS COUNTY SCHOOL DIST",5,7,54,70,2021-12-07,"cross_county_school_dist",1901000,"CROSS COUNTY SCHOOL DISTRICT",5,0,33,16,1,0,552,607,0.03,0.91,0.05,88.96,8.24
"67","PUBLIC SCHOOL DISTRICT","DEER/MT. JUDEA SCHOOL DIST",5,6,19,26,2021-12-07,"deer/mt._judea_school_dist",5106000,"DEER/MT. JUDEA SCHOOL DISTRICT",11,0,1,3,1,1,382,399,0.01,0.96,0,47.62,12.53
"68","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",5,18,210,245,2021-12-07,"dequeen_school_dist",6701000,"DEQUEEN SCHOOL DISTRICT",56,13,57,1408,30,84,647,2295,0.61,0.28,0.02,91.5,2.18
"69","PUBLIC SCHOOL DISTRICT","HEBER SPRINGS SCHOOL DIST",5,18,88,130,2021-12-07,"heber_springs_school_dist",1202000,"HEBER SPRINGS SCHOOL DISTRICT",34,9,8,74,5,1,1406,1537,0.05,0.91,0.01,57.25,3.25
"70","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",5,35,248,354,2021-12-07,"marion_school_dist",1804000,"MARION SCHOOL DISTRICT",128,35,2181,248,5,0,1314,3911,0.06,0.34,0.56,63.41,1.28
"71","PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",5,15,105,136,2021-12-07,"rivercrest_school_dist",4706000,"RIVERCREST SCHOOL DISTRICT",31,3,278,76,2,0,693,1083,0.07,0.64,0.26,96.95,4.62
"72","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",61,95,667,840,2021-12-06,"bentonville_school_dist",401000,"BENTONVILLE SCHOOL DISTRICT",839,1388,562,2095,224,95,12767,17970,0.12,0.71,0.03,37.12,3.39
"73","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",59,175,781,1122,2021-12-06,"springdale_school_dist",7207000,"SPRINGDALE SCHOOL DISTRICT",392,321,480,10481,113,2997,7098,21882,0.48,0.32,0.02,35.69,2.7
"74","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",43,71,595,807,2021-12-06,"cabot_school_dist",4304000,"CABOT SCHOOL DISTRICT",612,142,269,671,36,19,8422,10171,0.07,0.83,0.03,58.5,4.23
"75","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",38,114,606,838,2021-12-06,"rogers_school_dist",405000,"ROGERS SCHOOL DISTRICT",469,290,234,7332,95,333,6602,15355,0.48,0.43,0.02,39.47,2.47
"76","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",33,133,579,806,2021-12-06,"fort_smith_school_dist",6601000,"FORT SMITH SCHOOL DISTRICT",1290,737,1504,4703,124,17,5464,13839,0.34,0.39,0.11,41.84,2.38
"77","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",28,39,390,489,2021-12-06,"conway_school_dist",2301000,"CONWAY SCHOOL DISTRICT",460,165,2887,1094,18,5,5220,9849,0.11,0.53,0.29,39.6,2.84
"78","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",25,50,209,268,2021-12-06,"batesville_school_dist",3201000,"BATESVILLE SCHOOL DISTRICT",67,42,182,784,10,7,1967,3059,0.26,0.64,0.06,68.32,8.17
"79","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",25,51,399,514,2021-12-06,"little_rock_school_dist",6001000,"LITTLE ROCK SCHOOL DISTRICT",169,691,12557,3247,69,22,3990,20745,0.16,0.19,0.61,19.23,1.21
"80","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",25,31,198,249,2021-12-06,"mountain_home_school_dist",303000,"MOUNTAIN HOME SCHOOL DISTRICT",132,26,12,172,18,9,3512,3881,0.04,0.9,0,51.02,6.44
"81","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",23,50,230,320,2021-12-06,"siloam_springs_school_dist",406000,"SILOAM SPRINGS SCHOOL DISTRICT",221,131,48,1343,228,15,2188,4174,0.32,0.52,0.01,55.1,5.51
"82","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",21,34,185,244,2021-12-06,"north_little_rock_school_dist",6002000,"NORTH LITTLE ROCK SCHOOL DISTRICT",173,81,4524,767,53,4,2008,7610,0.1,0.26,0.59,24.31,2.76
"83","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",20,28,241,289,2021-12-06,"searcy_school_dist",7311000,"SEARCY SCHOOL DISTRICT",273,55,410,410,3,0,2796,3947,0.1,0.71,0.1,61.06,5.07
"84","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",17,30,203,235,2021-12-06,"fayetteville_school_dist",7203000,"FAYETTEVILLE SCHOOL DISTRICT",787,299,981,1245,37,152,6650,10151,0.12,0.66,0.1,20,1.67
"85","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",17,36,201,253,2021-12-06,"greenbrier_school_dist",2303000,"GREENBRIER SCHOOL DISTRICT",72,17,67,131,14,3,3264,3568,0.04,0.91,0.02,56.33,4.76
"86","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",17,34,260,329,2021-12-06,"greene_county_tech_school_dist",2807000,"GREENE COUNTY TECH SCHOOL DISTRICT",13,22,83,114,9,24,3260,3525,0.03,0.92,0.02,73.76,4.82
"87","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",16,41,266,366,2021-12-06,"benton_school_dist",6302000,"BENTON SCHOOL DISTRICT",225,51,497,512,14,8,4115,5422,0.09,0.76,0.09,49.06,2.95
"88","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",16,34,150,210,2021-12-06,"nettleton_school_dist",1611000,"NETTLETON SCHOOL DISTRICT",169,47,1697,338,7,5,1148,3411,0.1,0.34,0.5,43.98,4.69
"89","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",16,51,366,474,2021-12-06,"pulaski_county_special_school_dist",6003000,"PULASKI COUNTY SPECIAL SCHOOL DISTRICT",433,290,5075,1098,48,5,4475,11424,0.1,0.39,0.44,32.04,1.4
"90","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",15,29,246,306,2021-12-06,"west_memphis_school_dist",1803000,"WEST MEMPHIS SCHOOL DISTRICT",63,13,3843,91,1,0,1049,5060,0.02,0.21,0.76,48.62,2.96
"91","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",14,29,113,154,2021-12-06,"el_dorado_school_dist",7001000,"EL DORADO SCHOOL DISTRICT",143,55,1992,402,2,4,1523,4121,0.1,0.37,0.48,27.42,3.4
"92","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",14,23,147,200,2021-12-06,"highland_school_dist",6804000,"HIGHLAND SCHOOL DISTRICT",9,3,21,34,3,3,1524,1597,0.02,0.95,0.01,92.05,8.77
"93","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",14,31,120,167,2021-12-06,"huntsville_school_dist",4401000,"HUNTSVILLE SCHOOL DISTRICT",62,14,6,232,15,83,1770,2182,0.11,0.81,0,55,6.42
"94","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",13,38,178,254,2021-12-06,"greenwood_school_dist",6602000,"GREENWOOD SCHOOL DISTRICT",213,59,32,190,82,7,3143,3726,0.05,0.84,0.01,47.77,3.49
"95","PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",13,14,82,106,2021-12-06,"harrison_school_dist",503000,"HARRISON SCHOOL DISTRICT",73,14,11,114,10,2,2482,2706,0.04,0.92,0,30.3,4.8
"96","PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",12,5,94,115,2021-12-06,"academics_plus_public_charter_schools",6040700,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",52,72,298,85,8,3,1127,1645,0.05,0.69,0.18,57.14,7.29
"97","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",12,43,239,325,2021-12-06,"russellville_school_dist",5805000,"RUSSELLVILLE SCHOOL DISTRICT",258,77,335,1333,11,8,3190,5212,0.26,0.61,0.06,45.86,2.3
"98","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",11,40,359,475,2021-12-06,"bryant_school_dist",6303000,"BRYANT SCHOOL DISTRICT",208,179,1677,1417,12,7,5714,9214,0.15,0.62,0.18,38.96,1.19
"99","PUBLIC SCHOOL DISTRICT","ATKINS SCHOOL DIST",10,10,60,80,2021-12-06,"atkins_school_dist",5801000,"ATKINS SCHOOL DISTRICT",20,0,19,25,0,1,866,931,0.03,0.93,0.02,64.45,10.74
"100","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",10,23,151,195,2021-12-06,"clarksville_school_dist",3601000,"CLARKSVILLE SCHOOL DISTRICT",100,202,27,875,6,14,1212,2436,0.36,0.5,0.01,61.99,4.11
"101","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",10,21,114,146,2021-12-06,"mountain_view_school_dist",6901000,"MOUNTAIN VIEW SCHOOL DISTRICT",18,5,3,43,5,1,1472,1547,0.03,0.95,0,73.69,6.46
"102","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",10,27,274,368,2021-12-06,"paragould_school_dist",2808000,"PARAGOULD SCHOOL DISTRICT",108,15,235,200,8,68,2437,3071,0.07,0.79,0.08,89.22,3.26
"103","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",10,15,133,162,2021-12-06,"south_conway_county_school_dist",1507000,"SOUTH CONWAY COUNTY SCHOOL DISTRICT",157,9,380,173,8,6,1631,2364,0.07,0.69,0.16,56.26,4.23
"104","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",10,16,94,124,2021-12-06,"valley_view_school_dist",1612000,"VALLEY VIEW SCHOOL DISTRICT",71,108,105,129,6,2,2452,2873,0.04,0.85,0.04,32.72,3.48
"105","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",9,16,151,184,2021-12-06,"beebe_school_dist",7302000,"BEEBE SCHOOL DISTRICT",121,10,126,169,13,1,2740,3180,0.05,0.86,0.04,47.48,2.83
