"","Type","Name","Active_Cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","Date"
"57","PUBLIC SCHOOL DISTRICT","CADDO HILLS SCHOOL DIST",6,11,55,70,2021-11-15
"58","PUBLIC SCHOOL DISTRICT","DANVILLE SCHOOL DIST",6,8,38,54,2021-11-15
"59","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",6,14,82,112,2021-11-15
"60","PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",6,11,96,117,2021-11-15
"61","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",6,13,89,107,2021-11-15
"62","PUBLIC SCHOOL DISTRICT","PERRYVILLE SCHOOL DIST",6,NA,NA,46,2021-11-15
"63","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",6,21,149,197,2021-11-15
"64","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",6,28,112,157,2021-11-15
"65","PUBLIC SCHOOL DISTRICT","BAY SCHOOL DIST",5,9,28,40,2021-11-15
"66","PUBLIC SCHOOL DISTRICT","COTTER SCHOOL DIST",5,NA,NA,38,2021-11-15
"67","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",5,17,79,115,2021-11-15
"68","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",5,28,146,185,2021-11-15
"69","PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",5,17,94,125,2021-11-15
"70","PUBLIC SCHOOL DISTRICT","SPRING HILL SCHOOL DIST",5,6,48,57,2021-11-15
"71","PUBLIC SCHOOL DISTRICT","WEST FORK SCHOOL DIST",5,8,48,63,2021-11-15
"72","PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",5,9,58,78,2021-11-15
"74","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",15,81,407,757,2021-11-15
"75","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",8,31,112,219,2021-11-15
"76","COLLEGE/UNIVERSITY","HARDING UNIVERSITY, SEARCY",7,16,81,208,2021-11-15
"77","COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",6,15,84,148,2021-11-15
"1","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",53,97,511,719,2021-11-11
"21000","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",47,33,301,393,2021-11-11
"3348","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",47,118,487,697,2021-11-11
"4100","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",36,43,509,688,2021-11-11
"5100","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",35,80,519,676,2021-11-11
"6100","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",34,131,670,962,2021-11-11
"7100","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",32,45,313,416,2021-11-11
"8100","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",29,11,116,144,2021-11-11
"9100","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",23,35,335,446,2021-11-11
"10100","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",23,27,160,203,2021-11-11
"11100","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",23,18,89,116,2021-11-11
"12100","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",20,29,157,195,2021-11-11
"13100","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",20,24,142,185,2021-11-11
"14100","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",18,35,195,271,2021-11-11
"15100","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",18,35,182,257,2021-11-11
"16100","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",17,14,189,220,2021-11-11
"17","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",17,27,248,342,2021-11-11
"18100","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",16,28,148,214,2021-11-11
"19100","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",16,41,337,439,2021-11-11
"20100","PUBLIC SCHOOL DISTRICT","SALEM SCHOOL DIST",16,5,47,55,2021-11-11
"21100","PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",15,7,45,59,2021-11-11
"22100","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",15,31,222,323,2021-11-11
"23100","PUBLIC SCHOOL DISTRICT","NORFORK SCHOOL DIST",15,8,24,36,2021-11-11
"24100","PUBLIC SCHOOL DISTRICT","SLOAN",15,NA,NA,28,2021-11-11
"25100","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",15,16,101,133,2021-11-11
"26100","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",13,6,79,98,2021-11-11
"27100","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",13,15,115,160,2021-11-11
"28100","PUBLIC SCHOOL DISTRICT","CORNING SCHOOL DIST",12,5,49,63,2021-11-11
"29100","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",12,9,111,142,2021-11-11
"30100","PUBLIC SCHOOL DISTRICT","PERRYVILLE SCHOOL DIST",12,NA,NA,44,2021-11-11
"31100","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",12,20,203,243,2021-11-11
"32100","PUBLIC SCHOOL DISTRICT","SMACKOVER",12,NA,NA,52,2021-11-11
"3349","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",11,23,128,176,2021-11-11
"3410","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",11,30,227,292,2021-11-11
"3510","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",10,20,122,172,2021-11-11
"36","PUBLIC SCHOOL DISTRICT","WHITE CO. CENTRAL SCHOOL DIST",10,12,42,62,2021-11-11
"3710","PUBLIC SCHOOL DISTRICT","IZARD CO CONS SCHOOL DIST",9,NA,NA,46,2021-11-11
"3810","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",9,15,111,153,2021-11-11
"3910","PUBLIC SCHOOL DISTRICT","BALD KNOB SCHOOL DIST",8,NA,NA,47,2021-11-11
"4010","PUBLIC SCHOOL DISTRICT","BRADFORD SCHOOL DIST",8,8,36,49,2021-11-11
"4110","PUBLIC SCHOOL DISTRICT","COTTER SCHOOL DIST",8,NA,NA,37,2021-11-11
"4210","PUBLIC SCHOOL DISTRICT","DIERKS SCHOOL DIST",8,NA,NA,36,2021-11-11
"4310","PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",8,22,92,122,2021-11-11
"4410","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",8,36,313,378,2021-11-11
"4510","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",8,25,140,190,2021-11-11
"4610","PUBLIC SCHOOL DISTRICT","SHIRLEY SCHOOL DIST",8,6,44,52,2021-11-11
"4710","PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",8,9,58,78,2021-11-11
"4810","PUBLIC SCHOOL DISTRICT","DECATUR SCHOOL DIST",7,NA,NA,22,2021-11-11
"4910","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",7,17,78,113,2021-11-11
"5010","PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",7,14,92,120,2021-11-11
"5110","PUBLIC SCHOOL DISTRICT","GREENLAND SCHOOL DIST",7,11,58,74,2021-11-11
"5210","PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",7,15,92,123,2021-11-11
"5310","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",7,28,227,286,2021-11-11
"5410","PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",6,NA,NA,71,2021-11-11
"55","PUBLIC SCHOOL DISTRICT","ARMOREL SCHOOL DIST",6,7,43,54,2021-11-11
"5610","PUBLIC SCHOOL DISTRICT","BAY SCHOOL DIST",6,8,27,38,2021-11-11
"5710","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",6,10,87,99,2021-11-11
"5810","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",6,21,148,196,2021-11-11
"5910","PUBLIC SCHOOL DISTRICT","DANVILLE SCHOOL DIST",5,8,36,52,2021-11-11
"6010","PUBLIC SCHOOL DISTRICT","FLIPPIN SCHOOL DIST",5,6,39,49,2021-11-11
"6110","PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",5,10,94,114,2021-11-11
"6210","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",5,28,127,181,2021-11-11
"6310","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",5,14,107,129,2021-11-11
"6410","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",5,10,107,131,2021-11-11
"6510","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",5,49,219,299,2021-11-11
"6610","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",5,27,111,155,2021-11-11
"6710","PRIVATE SCHOOL","HARDING ACADEMY, SEARCY",5,NA,NA,60,2021-11-11
"6810","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",13,79,401,748,2021-11-11
"6910","COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",8,15,82,146,2021-11-11
"7010","COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",5,13,29,66,2021-11-11
"7110","COLLEGE/UNIVERSITY","UACC AT BATESVILLE",5,6,17,32,2021-11-11
"7210","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",5,31,108,214,2021-11-11
"73","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",47,91,491,693,2021-11-08
"7410","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",32,109,472,673,2021-11-08
"7510","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",28,77,505,657,2021-11-08
"7610","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",25,40,496,670,2021-11-08
"7710","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",25,126,654,939,2021-11-08
"78","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",24,32,273,364,2021-11-08
"79","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",23,41,301,397,2021-11-08
"80","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",21,14,184,215,2021-11-08
"81","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",18,16,84,109,2021-11-08
"82","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",17,28,149,184,2021-11-08
"83","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",17,10,101,128,2021-11-08
"84","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",16,34,172,245,2021-11-08
"85","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",15,34,324,435,2021-11-08
"86","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",14,19,120,169,2021-11-08
"87","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",13,22,127,174,2021-11-08
"88","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",13,8,106,135,2021-11-08
"89","PUBLIC SCHOOL DISTRICT","SMACKOVER",13,NA,NA,49,2021-11-08
"90","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",12,25,148,189,2021-11-08
"91","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",11,16,92,150,2021-11-08
"92","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",11,30,217,317,2021-11-08
"93","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",11,23,245,333,2021-11-08
"94","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",11,19,197,236,2021-11-08
"95","PUBLIC SCHOOL DISTRICT","SLOAN",11,NA,NA,23,2021-11-08
"96","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",10,36,313,378,2021-11-08
"97","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",10,22,133,172,2021-11-08
"98","PUBLIC SCHOOL DISTRICT","PERRYVILLE SCHOOL DIST",10,NA,NA,38,2021-11-08
"99","PUBLIC SCHOOL DISTRICT","CORNING SCHOOL DIST",9,5,46,60,2021-11-08
"100","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",9,27,142,204,2021-11-08
"101","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",9,41,327,425,2021-11-08
"102","PUBLIC SCHOOL DISTRICT","NORFORK SCHOOL DIST",9,7,17,28,2021-11-08
"103","PUBLIC SCHOOL DISTRICT","SHIRLEY SCHOOL DIST",9,5,43,50,2021-11-08
"104","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",9,14,92,125,2021-11-08
"105","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",9,14,111,151,2021-11-08
"106","PUBLIC SCHOOL DISTRICT","BRADFORD SCHOOL DIST",8,7,36,48,2021-11-08
"107","PUBLIC SCHOOL DISTRICT","DIERKS SCHOOL DIST",8,NA,NA,36,2021-11-08
"108","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",8,27,110,154,2021-11-08
"109","PUBLIC SCHOOL DISTRICT","BALD KNOB SCHOOL DIST",7,NA,NA,45,2021-11-08
"110","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",7,6,69,88,2021-11-08
"111","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",7,31,187,259,2021-11-08
"112","PUBLIC SCHOOL DISTRICT","WHITE CO. CENTRAL SCHOOL DIST",7,9,39,56,2021-11-08
"113","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",6,21,138,180,2021-11-08
"114","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",6,14,106,128,2021-11-08
"115","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",6,21,148,196,2021-11-08
"116","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",6,6,52,64,2021-11-08
"117","PUBLIC SCHOOL DISTRICT","ALPENA SCHOOL DIST",5,NA,NA,32,2021-11-08
"118","PUBLIC SCHOOL DISTRICT","BAY SCHOOL DIST",5,8,24,35,2021-11-08
"119","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",5,32,229,320,2021-11-08
"120","PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",5,21,70,107,2021-11-08
"121","PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",5,6,34,47,2021-11-08
"122","PUBLIC SCHOOL DISTRICT","COTTER SCHOOL DIST",5,NA,NA,34,2021-11-08
"123","PUBLIC SCHOOL DISTRICT","DECATUR SCHOOL DIST",5,NA,NA,20,2021-11-08
"124","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",5,21,93,126,2021-11-08
"125","PUBLIC SCHOOL DISTRICT","ELKINS SCHOOL DIST",5,5,41,52,2021-11-08
"126","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",5,29,220,285,2021-11-08
"127","PUBLIC SCHOOL DISTRICT","GREENLAND SCHOOL DIST",5,10,54,69,2021-11-08
"128","PUBLIC SCHOOL DISTRICT","HARMONY GROVE SCH DIST(SALINE)",5,8,44,56,2021-11-08
"129","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",5,15,107,151,2021-11-08
"130","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",5,25,136,185,2021-11-08
"131","PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",5,17,92,123,2021-11-08
"132","PRIVATE SCHOOL","HARDING ACADEMY, SEARCY",5,NA,NA,59,2021-11-08
"133","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",11,78,398,741,2021-11-08
"134","COLLEGE/UNIVERSITY","U OF A, FORT SMITH",7,8,63,116,2021-11-08
"135","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",6,31,106,212,2021-11-08
"136","COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",5,15,79,143,2021-11-08
"137","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",61,89,479,680,2021-11-04
"138","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",34,107,464,662,2021-11-04
"139","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",33,76,496,647,2021-11-04
"140","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",33,39,491,664,2021-11-04
"141","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",25,41,294,390,2021-11-04
"142","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",25,122,647,929,2021-11-04
"143","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",24,14,176,207,2021-11-04
"144","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",24,21,132,170,2021-11-04
"145","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",21,19,118,167,2021-11-04
"146","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",19,19,196,235,2021-11-04
"147","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",18,16,91,147,2021-11-04
"148","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",17,28,146,181,2021-11-04
"149","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",15,27,265,351,2021-11-04
"150","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",15,34,167,240,2021-11-04
"151","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",13,34,319,429,2021-11-04
"152","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",13,35,311,375,2021-11-04
"153","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",12,22,120,166,2021-11-04
"154","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",12,7,104,132,2021-11-04
"155","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",11,27,109,152,2021-11-04
"156","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",10,24,145,185,2021-11-04
"157","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",10,6,66,85,2021-11-04
"158","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",10,13,109,149,2021-11-04
"159","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",9,10,92,119,2021-11-04
"160","PUBLIC SCHOOL DISTRICT","BRADFORD SCHOOL DIST",9,7,35,47,2021-11-04
"161","PUBLIC SCHOOL DISTRICT","DIERKS SCHOOL DIST",9,NA,NA,35,2021-11-04
"162","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",9,22,238,327,2021-11-04
"163","PUBLIC SCHOOL DISTRICT","SHIRLEY SCHOOL DIST",9,5,43,50,2021-11-04
"164","PUBLIC SCHOOL DISTRICT","SLOAN",9,NA,NA,18,2021-11-04
"165","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",9,10,98,132,2021-11-04
"166","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",8,21,134,176,2021-11-04
"167","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",8,21,93,126,2021-11-04
"168","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",8,14,73,97,2021-11-04
"169","PUBLIC SCHOOL DISTRICT","PARKERS CHAPEL SCHOOL DIST",8,11,51,68,2021-11-04
"170","PUBLIC SCHOOL DISTRICT","SMACKOVER",8,NA,NA,42,2021-11-04
"171","PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",7,18,86,119,2021-11-04
"172","PUBLIC SCHOOL DISTRICT","NORFORK SCHOOL DIST",7,7,16,24,2021-11-04
"173","PUBLIC SCHOOL DISTRICT","PERRYVILLE SCHOOL DIST",7,NA,NA,35,2021-11-04
"174","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",7,10,104,128,2021-11-04
"175","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",7,12,90,118,2021-11-04
"176","PUBLIC SCHOOL DISTRICT","ALPENA SCHOOL DIST",6,NA,NA,32,2021-11-04
"177","PUBLIC SCHOOL DISTRICT","BISMARCK SCHOOL DIST",6,6,49,57,2021-11-04
"178","PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",6,7,49,66,2021-11-04
"179","PUBLIC SCHOOL DISTRICT","COTTER SCHOOL DIST",6,NA,NA,33,2021-11-04
"180","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",6,17,74,102,2021-11-04
