"","Date","Type","Name","All_Active_Cases","All_Faculty_Staff_Total","All_Student_Total","Total"
"55",2021-09-06,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",164,103,355,536
"56",2021-09-06,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",62,49,143,207
"57",2021-09-06,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",57,29,141,201
"58",2021-09-06,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",4833,1334,8261,11420
"59",2021-09-06,"Totals for all schools.","PRIVATE SCHOOLS",96,58,197,282
"60",2021-09-06,"Totals for all schools.","COLLEGES/UNIVERSITIES",762,203,792,1612
"61",2021-09-02,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",182,101,345,532
"62",2021-09-02,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",65,47,127,189
"63",2021-09-02,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",70,33,139,220
"64",2021-09-02,"Totals among schools with less than 5 active cases.","cSeptember 02, 2021",NA,NA,NA,NA
"65",2021-09-02,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",4791,1181,7051,10081
"66",2021-09-02,"Totals for all schools.","PRIVATE SCHOOLS",100,51,173,248
"67",2021-09-02,"Totals for all schools.","COLLEGES/UNIVERSITIES",666,187,627,1382
"68",2021-08-30,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",227,101,337,532
"69",2021-08-30,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",53,44,109,167
"70",2021-08-30,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",61,30,120,180
"71",2021-08-30,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",3911,980,5527,7831
"72",2021-08-30,"Totals for all schools.","PRIVATE SCHOOLS",84,48,147,219
"73",2021-08-30,"Totals for all schools.","COLLEGES/UNIVERSITIES",466,162,496,1052
"74",2021-08-26,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",250,98,362,552
"75",2021-08-26,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",45,36,95,142
"76",2021-08-26,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",66,24,98,146
"77",2021-08-26,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",3352,868,4434,6450
"78",2021-08-26,"Totals for all schools.","PRIVATE SCHOOLS",66,38,121,180
"79",2021-08-26,"Totals for all schools.","COLLEGES/UNIVERSITIES",404,146,351,835
"80",2021-08-23,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",290,125,441,618
"81",2021-08-23,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",42,27,85,121
"82",2021-08-23,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",70,44,122,202
"83",2021-08-23,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",2091,657,2873,4156
"84",2021-08-23,"Totals for all schools.","PRIVATE SCHOOLS",49,27,91,130
"85",2021-08-23,"Totals for all schools.","COLLEGES/UNIVERSITIES",247,131,257,588
"86",2021-08-19,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",262,127,372,550
"87",2021-08-19,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",37,26,65,100
"88",2021-08-19,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",71,39,95,157
"89",2021-08-19,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",1797,555,2084,3134
"90",2021-08-19,"Totals for all schools.","PRIVATE SCHOOLS",45,26,71,109
"91",2021-08-19,"Totals for all schools.","COLLEGES/UNIVERSITIES",233,106,194,454
"92",2021-08-16,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",309,138,351,551
"93",2021-08-16,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",34,17,49,73
"94",2021-08-16,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",60,27,68,117
"95",2021-08-16,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",1347,430,1335,2127
"96",2021-08-16,"Totals for all schools.","PRIVATE SCHOOLS",39,17,51,79
"97",2021-08-16,"Totals for all schools.","COLLEGES/UNIVERSITIES",202,89,144,349
